iter	Passed	Remaining
1479	8721	3064
1480	8726	3058
1481	8732	3052
1482	8738	3046
1483	8743	3040
1484	8749	3034
1485	8754	3028
1486	8760	3022
1487	8765	3016
1488	8771	3010
1489	8776	3004
1490	8782	2998
1491	8788	2992
1492	8794	2986
1493	8800	2980
1494	8805	2974
1495	8811	2968
1496	8817	2962
1497	8823	2956
1498	8829	2950
1499	8835	2945
1500	8840	2939
1501	8846	2933
1502	8852	2927
1503	8857	2921
1504	8863	2915
1505	8869	2909
1506	8875	2903
1507	8880	2897
1508	8886	2891
1509	8892	2885
1510	8899	2879
1511	8904	2874
1512	8910	2868
1513	8916	2862
1514	8921	2856
1515	8927	2850
1516	8933	2844
1517	8939	2838
1518	8944	2832
1519	8950	2826
1520	8956	2820
1521	8962	2814
1522	8968	2808
1523	8974	2802
1524	8980	2797
1525	8985	2791
1526	8991	2785
1527	8997	2779
1528	9002	2773
1529	9008	2767
1530	9014	2761
1531	9019	2755
1532	9025	2749
1533	9031	2743
1534	9037	2737
1535	9042	2731
1536	9048	2725
1537	9053	2719
1538	9059	2713
1539	9065	2707
1540	9070	2701
1541	9076	2695
1542	9081	2689
1543	9087	2683
1544	9093	2677
1545	9098	2671
1546	9104	2666
1547	9110	2660
1548	9116	2654
1549	9122	2648
1550	9128	2642
1551	9133	2636
1552	9139	2630
1553	9145	2624
1554	9150	2618
1555	9156	2612
1556	9162	2606
1557	9168	2601
1558	9174	2595
1559	9179	2589
1560	9185	2583
1561	9191	2577
1562	9196	2571
1563	9202	2565
1564	9207	2559
1565	9213	2553
1566	9219	2547
1567	9225	2541
1568	9230	2535
1569	9235	2529
1570	9241	2523
1571	9247	2517
1572	9252	2511
1573	9258	2505
1574	9264	2499
1575	9269	2493
1576	9275	2487
1577	9280	2481
1578	9286	2476
1579	9292	2470
1580	9297	2464
1581	9303	2458
1582	9309	2452
1583	9315	2446
1584	9320	2440
1585	9326	2434
1586	9332	2428
1587	9338	2422
1588	9343	2416
1589	9349	2410
1590	9355	2404
1591	9360	2398
1592	9366	2393
1593	9372	2387
1594	9378	2381
1595	9385	2375
1596	9391	2369
1597	9401	2365
1598	9407	2359
1599	9414	2353
1600	9419	2347
1601	9425	2341
1602	9431	2335
1603	9437	2329
1604	9442	2323
1605	9448	2317
1606	9453	2312
1607	9459	2306
1608	9464	2299
1609	9470	2294
1610	9475	2287
1611	9480	2281
1612	9486	2276
1613	9492	2270
1614	9499	2264
1615	9505	2258
1616	9511	2252
1617	9517	2247
1618	9524	2241
1619	9529	2235
1620	9535	2229
1621	9540	2223
1622	9546	2217
1623	9552	2211
1624	9558	2205
1625	9564	2199
1626	9569	2193
1627	9575	2188
1628	9581	2182
1629	9587	2176
1630	9592	2170
1631	9598	2164
1632	9604	2158
1633	9610	2152
1634	9616	2146
1635	9622	2140
1636	9627	2134
1637	9633	2129
1638	9639	2123
1639	9644	2117
1640	9650	2111
1641	9656	2105
1642	9661	2099
1643	9667	2093
1644	9673	2087
